年,季,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師,核閱或查核日期,核閱或查核報告類型
2010,3,1617,榮星電線,安 侯 建 業 聯 合 會 計 師 事 務 所,方 惠 玲,陳 國 宗,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1618,合機公司,勤業眾信聯合會計師事務所,劉水恩,翁榮隨,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1701,中化,資誠聯合會計師事務所,林鈞堯,王照明,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1702,南僑化工,安侯建業聯合會計師事務所,黃柏淑,俞安恬,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1704,榮化,勤業眾信聯合會計師事務所,郭文吉,許庭禎,99/10/29,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1707,葡萄王,大中國際聯合會計師事務所,李聰明,溫明郁,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1708,東鹼,安 侯 建 業 聯 合 會 計 師 事 務 所,林秀玉,唐慈杰,99/10/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1709,和益化工,立本台灣聯合會計師事務所,柯俊榮,陶鴻文,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1710,東聯,勤業眾信聯合會計師事務所,戴信維,范有偉,99/10/18,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1711,永光化學,安侯建業聯合會計師事務所,林秀玉,唐慈杰,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1712,興農,勤 業 眾 信 聯 合 會 計 師 事 務 所,曾 棟 鋆,成 德 潤,99/10/19,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1713,國化,安永聯合會計師事務所,蕭 翠 慧,徐 榮 煌,99/10/18,標準式無保留核閱報告
2010,3,1714,和桐化學,資誠聯合會計師事務所,王照明,翁世榮,99/10/27,保留(附加其他事項說明段)--採用其他會計師查核且欲區分責任、依被投資公司未經會計師查核報告認列投資損益
2010,3,1715,萬洲化學,資誠聯合會計師事務所,王輝賢,王照明,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益、其他
2010,3,1717,長興材料,資誠聯合會計師事務所,洪麗蓉,林億彰,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益、其他
2010,3,1718,中纖,勤業眾信聯合會計師事務所,徐文亞,王自軍,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1720,生達化學,資誠聯合會計師事務所,林姿妤,李明憲,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1721,三晃,勤業眾信聯合會計師事務所,吳麗冬,成德潤,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1722,台肥,勤業眾信聯合會計師事務所,王儀雯,范有偉,100/02/10,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1723,中碳,勤業眾信聯合會計師事務所,郭麗園,江佳玲,99/10/11,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1724,台硝,資誠聯合會計師事務所,薛守宏,李燕娜,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1725,元禎,勤業眾信聯合會計師事務所,張耿禧,仲偉,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1726,永記造漆,展立聯合會計師事務所,柯宗立,陳文達,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1727,中華化學,大 中 國 際 聯 合 會 計 師 事 務 所,許伯彥,李聰明,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1729,必翔實業,勤業眾信聯合會計師事務所,邵志明,郭政弘,99/10/26,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1730,花仙子,鼎信聯合會計師事務所,林松樹,吳孟達,99/10/15,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1731,美吾華,廣信益群聯合會 計 師 事 務 所,陳永琳,黃健豪,99/10/22,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1732,毛寶,資誠聯合會計師事務所,吳郁隆,馮敏娟,99/10/27,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1733,五鼎,勤 業 眾 信 聯  合  會 計 師 事 務 所,林鴻鵬,黃鴻文,99/10/18,標準式無保留核閱報告
2010,3,1734,杏輝藥品,鼎信聯合會計師事務所,張亞荃,林春枝,99/10/20,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
2010,3,1735,日勝化,安永聯合會計師事務所,林鴻光,(二余)清淵,99/10/21,保留式核閱報告--依被投資公司未經會計師查核報告認列投資損益
