年,公司代號,公司名稱,股利所屬年度,權利分派基準日,盈餘轉增資配股(元/股),法定盈餘公積、資本公積轉增資配股(元/股),除權交易日,配股總股數(股),配股總金額(元),配股總股數佔盈餘配股總股數之比例(%),員工紅利配股率,盈餘分配之股東現金股利(元/股),法定盈餘公積、資本公積發放之現金(元/股),除息交易日,現金股利發放日,員工紅利總金額(元),現金增資總股數(股),現金增資認股比率(%),現金增資認購價(元/股),董監酬勞(元),公告日期,公告時間,普通股每股面額
2005,1538,正峰新,93,94/07/30, , , , , , ,0,0.7,0,94/07/22, ,"          9,000,000", , , ,"          1,800,000",94/07/11,15:55:13,新台幣                 10.0000元
2005,1539,巨庭機械,93,94/07/29, , , , , , ,0,0.15,0,94/07/21, ,"            122,768", , , ,"            122,768",94/07/04,17:22:24,新台幣                 10.0000元
2005,1540,喬福機械,93,94/07/23, , , , , , ,0,1.2,0,94/07/15, ,"          1,858,000", , , ,"          1,858,000",94/06/29,11:41:31,新台幣                 10.0000元
2005,1558,伸興,93,94/07/29, , , , , , ,0,3.5,0,94/07/21, ,"          7,600,000", , , ,"          1,368,000",94/07/02,11:04:09,新台幣                 10.0000元
2005,1560,中砂,93,94/09/19,1.5,0,94/09/13,"          1,760,000","             17,600,000",14.79,0.0260355,1.5,0,94/09/13, ,                  0,                  0,0,          0.00,"          4,950,000",94/08/25,16:25:03,新台幣                 10.0000元
2005,1568,倉佑,93,94/08/05,0.5,0.5,94/07/28,                  0,                      0,0.00,0,0.2,0,94/07/28, ,"          1,062,379",                  0,0,          0.00,"            708,253",94/07/19,16:39:41,新台幣                 10.0000元
2005,1568,倉佑,93,94/12/05,0,0,94/11/29,                  0,                      0,0.00,0, , , , , ,"         10,000,000",17.024,         17.00,"            708,253",94/11/24,10:08:47,新台幣                 10.0000元
2005,1605,華新,93,94/07/19,1.013,0,94/07/13,                  0,                      0,0.00,0,1.013,0,94/07/13, ,"        203,079,100",                  0,0,          0.00,"        203,079,100",94/06/29,10:17:03,新台幣                 10.0000元
2005,1608,華榮,93,94/07/20, , , , , , ,0,0.5,0,94/07/14, ,"          9,991,160", , , ,"          6,660,774",94/06/29,15:30:07,新台幣                 10.0000元
2005,1609,大亞電線,93,94/08/10,0.3,0,94/08/04,                  0,                      0,0.00,0,0.3,0,94/08/04, ,"          3,070,408",                  0,0,          0.00,"          9,211,225",94/07/20,10:02:47,新台幣                 10.0000元
2005,1611,中電,93,94/08/15, , , , , , ,0,0.3,0,94/08/09, ,"          2,366,235", , , ,"            975,000",94/07/25,17:10:13,新台幣                 10.0000元
2005,1612,宏泰,93,94/07/16, , , , , , ,0,0.45,0,94/07/08, ,"          9,021,040", , , ,"          4,510,520",94/06/23,14:57:21,新台幣                 10.0000元
2005,1614,三洋電,93,94/07/12, , , , , , ,0,1.43,0,94/07/06, ,"          9,546,490", , , ,"         14,279,636",94/06/28,16:53:34,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1615,大山,93,94/07/17, , , , , , ,0,0.32,0,94/07/11, ,"          1,404,350", , , ,"          1,404,350",94/06/24,09:16:57,新台幣                 10.0000元
2005,1615,大山,93,94/09/12,0,0.9807,94/09/06,                  0,                      0,0.00,0,0,0, , ,                  0,                  0,0,          0.00,"          1,404,350",94/08/22,16:19:42,新台幣                 10.0000元
2005,1616,億泰,93,94/09/12,0,0.3,94/09/06,                  0,                      0,0.00,0,0.3,0,94/09/06, ,"          3,588,978",                  0,0,          0.00,"          1,435,591",94/08/23,15:43:18,新台幣                 10.0000元
2005,1617,榮星電線,93,94/07/17, , , , , , ,0,0.5,0,94/07/11, ,"            293,994", , , ,"          1,763,966",94/06/15,11:05:42,新台幣                 10.0000元
2005,1618,合機公司,93,94/10/30,0.9,0,94/10/24,                  0,                      0,0.00,0,0.3,0,94/10/24, ,"         14,000,000",                  0,0,          0.00,                  0,94/10/05,14:38:41,新台幣                 10.0000元
2005,1701,中化,93,94/08/01,1,0,94/07/26,                  0,                      0,0.00,0,0.5,0,94/07/26, ,"         56,000,000",                  0,0,          0.00,"          7,339,092",94/07/13,16:49:28,新台幣                 10.0000元
2005,1704,榮化,93,94/07/13, , , , , , ,0,1.2,0,94/07/07, ,"         18,688,000", , , ,"         12,459,000",94/06/22,11:18:01,新台幣                 10.0000元
2005,1707,葡萄王,93,94/09/23,0.1407320876,0.0642679124,94/09/15,                  0,                      0,0.00,0,0.41,0,94/09/15, ,"          9,428,989",                  0,0,          0.00,                  0,94/08/31,09:25:45,新台幣                 10.0000元
2005,1708,東鹼,93,94/06/29, , , , , , ,0,0.25,0,94/06/23, ,"          1,357,805", , , ,"          1,567,630",94/06/06,10:30:52,新台幣                 10.0000元
2005,1709,和益化工,93,94/08/02,0.6,0,94/07/27,"            417,265","              4,172,650",3.09,0.00191489, , , , , ,                  0,0,          0.00,"          4,172,650",94/07/13,11:23:25,新台幣                 10.0000元
2005,1710,東聯,93,94/08/09,1,0,94/08/03,"          2,440,860","             24,408,600",3.61,0.00360825,2.5,0,94/08/03, ,"         24,408,599",                  0,0,          0.00,"         24,408,599",94/07/15,14:26:55,新台幣                 10.0000元
2005,1711,永光化學,93,94/07/11, , , , , , ,0,0.5,0,94/07/05, ,"         17,221,529", , , ,"          6,888,611",94/06/21,09:25:30,新台幣                 10.0000元
2005,1712,興農,93,94/08/05, , , , , , ,0,0.3,0,94/07/28, ,"          2,178,551", , , ,"         10,892,754",94/07/14,17:46:48,新台幣                 10.0000元
2005,1713,國化,93,94/06/28, , , , , , ,0,0.5,0,94/06/22, ,"          5,537,963", , , ,"          1,107,593",94/06/08,15:58:14,新台幣                 10.0000元
2005,1715,萬洲化學,93,94/07/31, , , , , , ,0,0.511056,0,94/07/25, ,"          1,764,025", , , ,                  0,94/07/04,15:39:59,新台幣                 10.0000元
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,
2005,1717,長興材料,93,94/08/05,1,0,94/07/28,                  0,                      0,0.00,0, , , , , ,                  0,0,          0.00,"          8,000,000",94/07/12,11:34:15,新台幣                 10.0000元
2005,1718,中纖,93,94/08/29,1.58775,0.5634,94/08/23,                  0,                      0,0.00,0,0.51218,0,94/08/23, ,"         87,598,351",                  0,0,          0.00,"         21,899,588",94/08/09,12:06:57,新台幣                 10.0000元
2005,1720,生達化學,93,94/07/20, , , , , , ,0,1.004,0,94/07/14, ,"          1,822,826", , , ,"          5,468,477",94/06/30,14:12:59,新台幣                 10.0000元
2005,1722,台肥,93,94/08/23, , , , , , ,0,1.7,0,94/08/17, ,"         53,453,792", , , ,"         35,635,861",94/07/29,10:58:58,新台幣                 10.0000元
2005,1723,中碳,93,94/07/24,0.2,0,94/07/18,"          2,510,055","             25,100,550",38.91,0.01273991,4.5,0,94/07/18, ,"          3,837,190",                  0,0,          0.00,"          9,645,914",94/07/04,16:00:43,新台幣                 10.0000元
2005,1725,元禎,93,94/08/23,1.84,0,94/08/17,                  0,                      0,0.00,0,0.3,0,94/08/17, ,"          3,252,600",                  0,0,          0.00,"          3,252,600",94/08/03,08:31:48,新台幣                 10.0000元
2005,1727,中華化學,93,94/08/05,0.825,0,94/07/28,"            297,500","              2,975,000",5.95,0.0052193,0.3,0,94/07/28, ,                  0,                  0,0,          0.00,"          1,811,399",94/07/13,17:10:18,新台幣                 10.0000元
2005,1729,必翔實業,93,94/09/13,0.1,0,94/09/07,"          1,200,000","             12,000,000",41.30,0.00703642,2.9,0,94/09/07, ,"          6,509,485",                  0,0,          0.00,"          1,350,000",94/08/22,10:38:22,新台幣                 10.0000元
2005,1730,花仙子,93,94/10/20, , , , , , ,0,0.6,0,94/10/13, ,"          1,960,000", , , ,"            390,000",94/08/12,16:03:43,新台幣                 10.0000元
