,Unnamed: 0,公司代號,公司簡稱,簽證會計師事務所名稱,簽證會計師,簽證會計師.1,核閱或查核日期,核閱或查核報告類型
146,146,1709,和益化工,立本台灣聯合會計師事務所,陳玉芳,柯俊榮,2006/08/03,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
147,147,1710,東聯,勤業眾信會計師事務所,郭俐雯,范有偉,2006/07/19,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
148,148,1711,永光化學,安侯建業會計師事務所,林秀玉,唐慈杰,2006/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
149,149,1712,興農,勤 業 眾 信 會 計 師 事 務 所,成 德 潤,羅 瑞 霖,2006/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
150,150,1713,國化,致遠會計師事務所,戴興鉦,潘愛華,2006/07/31,"????????????????""修正式無保留意見--會計原則變動"""
151,151,1714,和桐化學,致 遠 會 計 師 事 務 所,楊文安,佟韻玲,2006/08/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
152,152,1715,萬洲化學,資誠會計師事務所,王照明,翁世榮,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
153,153,1717,長興材料,資誠會計師事務所,洪麗蓉 (YYY代表會計?,林億彰 (YYY代表會計?,2006/07/28,"????????""保留意見--適用新公報、依被投資公司未經會計師查核報告認列投資損益"""
154,154,1718,中纖,廣 信 益 群 會 計 師 事 務 所,郭錦蓉,單思達,2006/08/24,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
155,155,1720,生達化學,資誠會計師事務所,李明憲,劉子猛,2006/08/15,"????????""保留意見--適用新公報、依被投資公司未經會計師查核報告認列投資損益"""
156,156,1721,三晃,勤 業 眾 信 會 計 師 事 務 所,吳麗冬會計師,呂惠民會計師,2006/07/31,"??????????""無保留意見 """
157,157,1722,台肥,正風聯合會計師事務所,丁鴻勛,黃國師,2006/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
158,158,1723,中碳,勤業眾信會計師事務所,龔俊吉,許芳益,2006/07/20,"????????????????""修正式無保留意見--會計原則變動"""
159,159,1724,台硝,資誠會計師事務所,薛守宏,李燕娜,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
160,160,1725,元禎,勤業眾信會計師事務所,仲偉,涂三遷,2006/08/02,"????????????????""修正式無保留意見--會計原則變動"""
161,161,1726,永記造漆,集智會計師事務所,蔡靜雯,陳文達,2006/08/04,"????????????????""修正式無保留意見--會計原則變動"""
162,162,1727,中華化學,致 遠 會 計 師 事 務 所,楊文安,黃素珍,2006/07/25,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
163,163,1729,必翔實業,資誠會計師事務所,林玉寬,王偉臣,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
164,164,1730,花仙子,鼎信聯合會計師事務所,黃志成,王昌勝,2006/07/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
165,165,1731,美吾華,廣信益群 聯 合 會 計 師 事 務 所,陳永琳,蘇真愛,2006/08/18,"????????????????""修正式無保留意見--會計原則變動"""
166,166,1732,毛寶,致遠會計師事務所,黃敏全,阮呂艷,2006/07/25,"????????????????""修正式無保留意見--會計原則變動"""
167,167,1733,五鼎,勤 業 眾 信 會 計 師 事 務 所,黃鴻文,黃樹傑,2006/08/17,"????????????????""修正式無保留意見--會計原則變動"""
168,168,1734,杏輝藥品,鼎信聯 合 會 計 師 事 務 所,諶清,黃志成,2006/08/04,"??????????""無保留意見 """
169,169,1735,日勝化,致遠會計師事務所,林鴻光,游朝堂,2006/07/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
170,170,1736,喬山健康,致 遠 會 計 師 事 務 所,林鴻光,游朝堂,2006/08/08,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
171,171,1737,臺鹽,勤業眾信會計師事務所,王茂霖,李季珍,2006/08/15,"????????????????""修正式無保留意見--會計原則變動"""
172,172,1762,中化合成,群 信 聯 合 會 計 師 事 務 所,謝文益,李仍晃,2006/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
173,173,1773,勝一化工,建 興 聯 合 會 計 師 事 務 所,謝仁耀,黃鈴雯,2006/08/23,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
174,174,1776,展宇,勤 業 眾 信 會 計 師 事 務 所,陳明輝,黃樹傑,2006/07/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
175,175,1786,科妍,資誠會計師事務所,林億彰,王國華,2006/08/30,"????????????????""修正式無保留意見--會計原則變動"""
176,176,1802,台玻,致遠會計師事務所,鄧泗堂,陳慕賢,2006/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
177,177,1805,寶徠,誠信聯合會計師事務所,陳功源,吳(日告)(巾ˊ几),2006/07/31,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
178,178,1806,冠軍,安侯建業會計師事務所,曾國禓,林瞳,2006/08/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
179,179,1808,潤隆,安侯建業會計師事務所,林  瞳,曾國禓,2006/08/29,"????????????????""修正式無保留意見--欲強調某一事項"""
180,180,1809,中釉,致 遠 會 計 師 事 務 所,楊文安,黃素珍,2006/07/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
181,181,1810,和成,安侯建業 會 計 師 事 務 所,江忠儀,許淑敏,2006/08/22,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
182,182,1902,台紙,勤業眾信會計師事務所,蔡振財,張清福,2006/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
183,183,1903,士紙,惠眾會計師事務所,卓敏枝,盧聯生,2006/08/09,"??????????""無保留意見 """
184,184,1904,正隆,安侯建業會計師事務所,黃耀明,顏幸福,2006/07/26,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
185,185,1905,華紙,安 侯 建 業 會 計 師 事 務 所,黃柏淑會計師,羅子強會計師,2006/07/19,"??????????""無保留意見 """
186,186,1906,寶隆,立本台灣聯合會計師事務所,陶鴻文,曾炳霖,2006/08/24,"????????????????""修正式無保留意見--會計原則變動"""
187,187,1907,永豐餘,勤業眾信會計師事務所,郭政弘,邵志明,2006/08/04,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
188,188,1909,榮成,立本台灣聯合會計師事務所,陶鴻文,曾炳霖,2006/08/24,"????????????????""修正式無保留意見--會計原則變動"""
189,189,2002,中鋼,勤業眾信會計師事務所,龔俊吉,魏永篤,2006/07/21,"????????????????""修正式無保留意見--會計原則變動"""
190,190,2006,東和鋼鐵,安侯建業會計師事務所,李慈慧,吳秋華,2006/08/23,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
191,191,2007,燁興公司,正風聯合會計師事務所,賴永吉,周銀來,2006/08/15,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
192,192,2008,高興昌,安侯建業會計師事務所,陳國宗,楊博任,2006/08/07,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
193,193,2009,第一伸銅,安侯建業會計師事務所,王明志,陳國宗,2006/08/08,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
194,194,2010,春源鋼鐵,第 一 聯 合 會 計 師 事 務 所,林志隆,林克武,2006/08/05,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
195,195,2012,春雨,建興聯合會計師事務所,謝仁耀,黃鈴雯,2006/08/11,"????????""保留意見--適用新公報、依被投資公司未經會計師查核報告認列投資損益"""
196,196,2013,中鋼構,勤業眾信會計師事務所,郭麗園,江佳玲,2006/07/20,"????????????????""修正式無保留意見--會計原則變動"""
197,197,2014,中鴻,勤業眾信會計師事務所,龔俊吉,許芳益,2006/07/20,"????????????????""修正式無保留意見--會計原則變動"""
198,198,2015,豐興鋼鐵,致 遠 會 計 師 事 務 所,游朝堂,涂清淵,2006/07/28,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
199,199,2017,官田鋼,勤業眾信會計師事務所,黃李松,龔俊吉,2006/07/28,"????????????????""修正式無保留意見--採用其他會計師查核且欲區分責任、欲強調某一事項"""
200,200,2020,美亞鋼管,鼎信聯合會計師事務所,林春枝,黃志成,2006/08/11,"????????????????""修正式無保留意見--會計原則變動"""
201,201,2022,聚亨,正風聯合會計師事務所,黃國師,周銀來,2006/08/21,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
202,202,2023,燁輝,建 興 聯 合 會 計 師 事 務 所,謝仁耀,蔡淑滿,2006/08/09,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
203,203,2024,志聯工業,安侯建業 會 計 師 事 務 所,黃柏淑,許育峰,2006/08/11,"????????????????""修正式無保留意見--繼續經營假設有疑慮"""
204,204,2025,千興,資誠會計師事務所,洪麗蓉,林億彰,2006/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
205,205,2027,大成鋼,勤業會計師事務所,李季珍,黃李松,2006/08/18,"????????????????""修正式無保留意見--會計原則變動"""
206,206,2028,威致鋼鐵,建興聯合會計師事務所,蔡淑滿,黃鈴雯,2006/08/15,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
207,207,2029,盛餘,勤業眾信會計師事務所,龔俊吉,許芳益,2006/07/24,"????????????????""修正式無保留意見--欲強調某一事項"""
208,208,2030,彰源,勤業眾信會計師事務所,成德潤,羅瑞霖,2006/07/31,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
209,209,2031,新光鋼,勤業眾信會計師事務所,周以隆,翁榮隨,2006/07/31,"??????????""無保留意見 """
210,210,2032,新鋼工業,第 一 聯 合 會 計 師 事 務 所,林美玲,王戊昌,2006/08/10,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
211,211,2033,佳大世界,建 誠 聯 合 會 計 師 事 務 所,林敏雄,李文達,2006/08/14,"??????????""無保留意見 """
212,212,2034,允強,中國財稅會計師事務所,柯天賜,吳靜儒,2006/07/22,"????????????????""修正式無保留意見--會計原則變動"""
213,213,2038,海光企業,勤 業 眾 信  會 計 師 事 務 所,龔俊吉,許芳益,2006/08/04,"??????????""無保留意見 """
214,214,2049,上銀科技,勤業眾信會計師事務所,羅瑞霖,成德潤,2006/08/09,"????????????????""修正式無保留意見--欲強調某一事項"""
215,215,2059,川湖,勤 業 眾 信 會 計 師 事 務 所,郭麗園,曾光敏,2006/08/04,"????????????????""修正式無保留意見--欲強調某一事項"""
216,216,2101,南港輪胎,正 風 聯 合 會 計 師 事 務 所,黃國師,周銀來,2006/08/18,"????????????????""修正式無保留意見--欲強調某一事項"""
217,217,2102,泰豐輪胎,資誠會計師事務所,林鈞堯,翁世榮,2006/08/18,"????????????????""修正式無保留意見--會計原則變動"""
218,218,2103,台橡,安侯建業會計師事務所,楊美雪,羅子強,2006/07/26,"????????????????""修正式無保留意見--欲強調某一事項"""
219,219,2104,中橡,勤業眾信會計師事務所,吳美慧,黃瑞展,2006/08/09,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
220,220,2105,正新,資誠會計師事務所,蕭珍琪,洪淑華,2006/08/18,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
221,221,2106,建大,鼎信聯合會計師事務所,蕭溪明,黃素絹,2006/08/01,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
222,222,2107,厚生,正風聯合會計師事務所,徐素琴,黃國師,2006/08/07,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
223,223,2108,南帝化工,資誠會計師事務所,李明憲,劉子猛,2006/07/31,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
224,224,2109,華豐橡膠,群 智 聯 合 會 計 師 事 務 所,黃　奕　睿,陳　郁　惠,2006/08/14,"????????""保留意見--依被投資公司未經會計師查核報告認列投資損益"""
225,225,2114,鑫永銓,資誠會計師事務所,楊明經,洪淑華,2006/08/09,"??????????""無保留意見 """
