年季,公司代號,公司名稱,流動資產,基金與投資,固定資產,無形資產,其他資產,資產總計,流動負債,長期負債,各項準備,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他調整項目合計,庫藏股票(自98年第4季起併入「其他項目」表達),共同控制下前手權益,少數股權,股東權益總計,預收股款(股東權益項下)之約當發行股數(單位:股),母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值
99/03,1517,利奇機械,      3986815,        147130,        907472,        180070,         16985,      5238472,      1076336,        758211,          3442,        118484,      1956473,      2278250,         72891,        529597,         62223,              0,              0,        339038,      3281999,              0.00,              0.00,             12.92
99/03,1519,華城電機,      4770211,         99400,      1471397,         31866,         34316,      6407190,      3118107,              0,         34528,        201742,      3354377,      2610585,         27138,        376741,         38349,              0,              0,              0,      3052813,              0.00,              0.00,             11.69
99/03,1521,大億,      1680997,        255650,        847224,          8922,         44445,      2837238,      1209554,              0,         66974,         93911,      1370439,        762300,         60472,        653120,         -9093,              0,              0,              0,      1466799,              0.00,              0.00,             19.24
99/03,1522,堤維西,      6994076,        610232,      7003856,        121558,        667454,     15397176,      6337916,      3041507,         38717,        231107,      9649247,      3079850,      1349402,        794552,         28028,              0,              0,        496097,      5747929,              0.00,      4121155.00,             17.28
99/03,1524,耿鼎企業,      1496796,         92580,      4016653,              0,          4097,      5610126,      1542233,      1858413,         74336,         24661,      3499643,      1624146,        220379,        222481,         43477,              0,              0,              0,      2110483,              0.00,      5249253.00,             13.43
99/03,1525,江申工業,        823897,      1250559,        464967,          4091,          2781,      2546295,        317924,              0,         69799,         93186,        480909,        659480,          1251,      1137243,        267412,              0,              0,              0,      2065386,              0.00,              0.00,             31.32
99/03,1526,日馳,        417911,          5257,        415782,             18,         46602,        885570,        289720,        162167,              0,         28956,        480843,        500000,              0,        -95502,            229,              0,              0,              0,        404727,              0.00,              0.00,              8.09
99/03,1527,鑽全,      6180856,          7129,      1477677,          2707,      1242097,      8910466,      4890501,      1599000,              0,          6878,      6496379,      1596306,            305,        993942,       -176466,              0,              0,              0,      2414087,              0.00,        654000.00,             15.19
99/03,1528,恩德,      3004350,         42243,        751808,         50054,        185179,      4033634,      1425226,        718530,              0,        112706,      2256462,      1201177,        276671,        268022,          2922,              0,              0,         28380,      1777172,              0.00,      2500000.00,             14.87
99/03,1529,樂士,      1070703,          1528,        156108,          1300,        140286,      1369925,        468106,         33612,              0,          4680,        506398,      2097089,          2320,     -1245075,              0,              0,              0,          9193,        863527,              0.00,              0.00,              4.07
99/03,1530,亞崴機電,      2780579,         53326,      1076711,         40022,         18665,      3969303,      1863624,         37200,          3239,         58832,      1962895,        906080,        231577,        884804,        -16053,              0,              0,              0,      2006408,              0.00,      1546000.00,             22.53
99/03,1531,高林股,      4951385,              0,      1375406,        242631,         15541,      6584963,      1466869,        181724,              0,        234931,      1883524,      1931511,        341177,      1757692,        235527,              0,              0,        435532,      4701439,              0.00,              0.00,             22.09
99/03,1532,勤美,     22245953,      1904202,     12175558,        883457,        142265,     37351435,     16441864,      4946072,              0,        987166,     22375102,      3461271,      2021334,      3132620,        340440,              0,              0,      6020668,     14976333,              0.00,              0.00,             25.87
99/03,1533,車王電,      1998389,        100980,      1136315,        102423,         63478,      3401585,        975853,        593002,              0,         25611,      1594466,        964152,        275871,        521193,         45894,              0,              0,              9,      1807119,              0.00,              0.00,             18.74
99/03,1535,中宇,      3386538,        654997,        122825,              0,         18143,      4182503,      1986607,              0,         57710,         15976,      2060293,      1130474,        121613,        813351,         56772,              0,              0,              0,      2122210,              0.00,              0.00,             18.77
99/03,1536,和大工業,      2340737,        140789,      2820793,         17851,         28695,      5348865,      2190861,      1212305,          1417,         77241,      3481824,      2003103,        496511,       -735145,         56698,              0,              0,         45874,      1867041,              0.00,              0.00,              9.09
99/03,1537,廣隆光電,      2088431,         20000,        930771,         77410,         78308,      3194920,      1094941,         87181,              0,         92774,      1274896,        759373,        527879,        661923,        -67231,              0,              0,         38080,      1920024,              0.00,              0.00,             24.78
99/03,1538,正峰新,        705996,              0,      1997012,          4882,        216793,      2924683,        996368,        189556,         18130,         25478,      1229532,      1620115,          6986,        -77727,        145777,              0,              0,              0,      1695151,              0.00,              0.00,             10.46
99/03,1539,巨庭機械,      1006526,          9230,        464041,         27991,         72292,      1580080,        781698,         57698,              0,         15859,        855255,        653700,         45160,         -3927,         29892,              0,              0,              0,        724825,              0.00,              0.00,             11.09
99/03,1540,喬福機械,      1151631,              0,        433930,            125,            492,      1586178,        275244,              0,              0,          7488,        282732,        854736,        147885,        331011,        -30206,              0,              0,             20,      1303446,              0.00,      6105911.00,             16.42
99/03,1558,伸興,      2175438,         16907,        885802,         66829,          4698,      3149674,      1052002,              0,             87,        126444,      1178533,        469788,        266204,      1206513,         28636,              0,              0,              0,      1971141,              0.00,              0.00,             41.96
99/03,1582,信錦,      5451368,         20885,        759493,        381008,        151569,      6764323,      2672582,              0,              0,        384910,      3057492,      1360408,      1438878,        704904,        157479,              0,              0,         45162,      3706831,              0.00,              0.00,             26.92
99/03,1583,程泰,      5021626,        126660,      1864347,        128788,        204946,      7346367,      3592829,        220683,          7973,         96088,      3917573,        950186,        469314,        786904,       -113150,              0,              0,      1335540,      3428794,              0.00,      2474000.00,             22.62
99/03,1590,F-亞德,      2629077,              0,      2722938,        114036,         52228,      5518279,      1152870,      1083479,              0,        126320,      2362669,      1330000,        475335,      1179678,         53592,              0,              0,        117005,      3155610,              0.00,              0.00,             22.85
