年季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,營業費用,營業利益（損失）,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,其他綜合損益（淨額）,會計原則變動累積影響數,本期綜合損益總額,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,營業外收入及支出,利息淨收益,利息以外淨收益,呆帳費用,會計原則變動之累積影響數,稀釋每股盈餘,利息收入,減：利息費用,淨收益,收回(提存)各項保險責任準備淨額,收入,費用,列計非常損益及會計原則變動累積影響數前損益,營業支出,換算匯率,換算匯率參考依據
2010/01,1453.0,大將,47932.0,42349.0,5583.0,7586.0,-2003.0,-938.0,1730.0,-2668.0,0.0,0.0,0.0,-2668.0,-2617.0,0.0,-51.0,-0.06,1065.0,,,,,,,,,,,,,,,
2010/01,1454.0,台富,547586.0,524041.0,23545.0,34175.0,-10630.0,-12084.0,-2090.0,-9994.0,0.0,0.0,0.0,-9994.0,-9994.0,0.0,0.0,-0.08,-1454.0,,,,,,,,,,,,,,,
2010/01,1456.0,怡華,464552.0,442970.0,21582.0,36006.0,-14424.0,-20778.0,715.0,-21493.0,0.0,0.0,0.0,-21493.0,-21723.0,0.0,230.0,-0.13,-6354.0,,,,,,,,,,,,,,,
2010/01,1457.0,宜進,1240801.0,1163812.0,76989.0,42881.0,34108.0,53410.0,0.0,53410.0,0.0,0.0,0.0,53410.0,44049.0,0.0,9361.0,0.23,19302.0,,,,,,,,,,,,,,,
2010/01,1459.0,聯發紡織,961984.0,861182.0,100802.0,24404.0,76398.0,68951.0,7143.0,61808.0,0.0,0.0,0.0,61808.0,61937.0,0.0,-129.0,0.22,-7447.0,,,,,,,,,,,,,,,
2010/01,1460.0,宏遠,1191812.0,1026181.0,165631.0,217222.0,-51591.0,-1295058.0,178.0,-1295236.0,0.0,0.0,0.0,-1295236.0,-1295235.0,0.0,-1.0,-2.96,-1243467.0,,,,,,,,,,,,,,,
2010/01,1463.0,強盛染整,137217.0,134256.0,2961.0,24743.0,-21782.0,-17627.0,263.0,-17890.0,0.0,0.0,0.0,-17890.0,-17722.0,0.0,-168.0,-0.09,4155.0,,,,,,,,,,,,,,,
2010/01,1464.0,得力實業,862024.0,766397.0,95627.0,150940.0,-55313.0,-46911.0,2312.0,-49223.0,0.0,0.0,0.0,-49223.0,-25268.0,0.0,-23955.0,-0.16,8402.0,,,,,,,,,,,,,,,
2010/01,1465.0,偉全實業,587730.0,529315.0,58415.0,39985.0,18430.0,34160.0,2340.0,31820.0,0.0,0.0,0.0,31820.0,20509.0,0.0,11311.0,0.24,15730.0,,,,,,,,,,,,,,,
2010/01,1466.0,聚隆,1138661.0,1015593.0,123068.0,68308.0,54760.0,42655.0,328.0,42327.0,0.0,0.0,0.0,42327.0,42327.0,0.0,0.0,0.59,-12105.0,,,,,,,,,,,,,,,
