年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2015/03,1582,信錦,8120956,1435814,9556770,2882197,1138422,4020619,1498564,1940072,1697729,399786,0,5536151,--,--,0,5536151,0,0,0,36.94
2015/03,1583,程泰,8881350,3980289,12861639,6149414,1482234,7631648,1000323,488606,2063006,92950,--,3644885,--,--,1585106,5229991,0,0,0,36.44
2015/03,1589,F-永冠,8777561,5851455,14629016,2276546,2849460,5126006,1121547,5194053,2558875,516664,--,9391139,--,--,111871,9503010,0,--,0,83.73
2015/03,1590,F-亞德,8517709,12873512,21391221,8058305,2911848,10970153,1790250,3906960,3835174,741688,0,10274072,--,--,146996,10421068,0,0,0,57.39
2015/03,1592,F-英瑞,4203115,3038763,7241878,3855708,280322,4136030,1004333,895781,805863,414763,-14892,3105848,--,--,--,3105848,0,--,516000,31.08
2015/03,1603,華電,3554974,5271075,8826049,2886315,815901,3702216,2738400,412208,4425600,-75573,-2384922,5115713,--,--,8120,5123833,0,0,58646089,23.77
2015/03,1604,聲寶,3317590,8466934,11784524,1788355,2250088,4038443,5250000,74512,2792690,146012,-753857,7509357,--,--,236724,7746081,0,0,33041829,15.26
2015/03,1605,華新,52230751,53867857,106098608,17940297,24297007,42237304,35760002,15629048,11038187,203816,-608810,62022243,--,--,1839061,63861304,0,--,70000000,17.69
2015/03,1608,華榮,5552126,6543183,12095309,3349630,1226435,4576065,6327735,194806,865472,-57350,-852003,6478660,--,--,1040584,7519244,0,0,208563824,15.27
2015/03,1609,大亞電線,11024251,7667157,18691408,8189334,2865863,11055197,5721808,522416,329789,95331,-46562,6622782,0,--,1013429,7636211,0,0,12633667,11.84
2015/03,1611,中電,2919560,4694158,7613718,2057537,280344,2337881,3984392,514132,775696,-8922,-696,5264602,--,--,11235,5275837,0,0,116273,13.22
2015/03,1612,宏泰,2549555,2691857,5241412,588297,108954,697251,3241511,179445,1292443,-177674,--,4535725,--,--,8436,4544161,0,0,0,13.99
2015/03,1613,台一,13154654,4380454,17535108,12339552,3227501,15567053,2275280,75603,-593036,-6161,--,1751686,--,--,216369,1968055,0,0,0,7.7
2015/03,1614,三洋電,2050797,4612489,6663286,844929,752544,1597473,2691134,223447,2230352,-3883,-132298,5008752,--,--,57061,5065813,0,0,10182744,19.34
2015/03,1615,大山,932554,1381702,2314256,666742,183128,849870,1118618,0,351449,-5681,--,1464386,--,--,--,1464386,0,--,0,13.09
2015/03,1616,億泰,2970604,1003968,3974572,1981199,187464,2168663,1941485,2480,-88915,35936,-85077,1805909,--,--,--,1805909,0,--,4654499,9.53
2015/03,1617,榮星電線,2204895,928361,3133256,1244791,242571,1487362,1442332,90331,77229,41170,-5174,1645888,--,--,6,1645894,0,0,760000,11.47
2015/03,1618,合機公司,2095110,2157296,4252406,369523,11960,381483,2408647,648415,1070789,-256928,0,3870923,--,--,0,3870923,0,0,0,16.07
2015/03,1626,F-艾美,5005257,3455864,8461121,5198332,275354,5473686,1228846,1042611,436563,279415,--,2987435,--,--,--,2987435,0,0,0,24.31
2015/03,1701,中化,4222207,5741282,9963489,2342509,2140449,4482958,2980811,642640,1703712,133369,-28054,5432478,--,--,48053,5480531,0,0,827883,18.28
2015/03,1702,南僑化工,9959924,8704178,18664102,7372563,5749804,13122367,2941330,520786,2243754,230032,-530114,5405788,--,--,135947,5541735,0,0,46041259,21.79
2015/03,1704,榮化,20758332,17071281,37829613,7843418,6570197,14413615,8529594,9171710,4583398,1055695,0,23340397,--,--,75601,23415998,0,--,0,27.36
2015/03,1707,葡萄王,2020892,5864435,7885327,1394261,2717339,4111600,1302350,49636,1811819,10801,0,3174606,--,--,599121,3773727,0,0,0,24.38
2015/03,1708,東鹼,2107770,6887166,8994936,1666265,2104087,3770352,1827191,10674,3051098,209865,--,5098828,--,--,125756,5224584,0,--,0,27.91
2015/03,1709,和益化工,5077328,4716124,9793452,1755367,1174451,2929818,4299329,245847,1794837,144614,--,6484627,--,--,379007,6863634,0,0,0,15.08
2015/03,1710,東聯,8062649,29159349,37221998,6920012,11782643,18702655,8857031,1351656,4884745,728967,-187798,15634601,--,--,2884742,18519343,0,--,13753554,17.93
2015/03,1711,永光化學,6261321,6883001,13144322,4243121,1062631,5305752,5216688,473558,1598189,217824,--,7506259,--,--,332311,7838570,0,0,0,14.39
2015/03,1712,興農,7942103,8459337,16401440,6431800,4675247,11107047,3448032,212556,1588640,-62311,0,5186917,--,--,107476,5294393,0,0,0,15.04
2015/03,1713,國化,1091343,1299789,2391132,32109,136039,168148,1509517,0,708085,5382,0,--,--,--,--,2222984,0,0,0,14.73
2015/03,1714,和桐化學,18004323,13506966,31511289,12002114,4013177,16015291,9585927,45843,1130793,940514,-144781,11558296,--,--,3937702,15495998,0,0,17884513,12.29
2015/03,1715,萬洲化學,6945737,8377216,15322953,4237563,3176049,7413612,4248937,821294,1648959,417216,-92817,7043589,0,--,865752,7909341,0,0,8685548,16.92
2015/03,1717,長興材料,29736528,19463992,49200520,9892560,16842264,26734824,10221690,359884,7884941,3469955,--,21936470,--,--,529226,22465696,0,0,0,21.46
2015/03,1720,生達化學,2480103,2934472,5414575,1069331,602955,1672286,1786961,335467,1061542,217900,--,3401870,--,--,340419,3742289,0,0,0,19.04
2015/03,1721,三晃,726880,552004,1278884,381605,94751,476356,836771,0,-30069,-4174,0,802528,--,--,--,802528,0,0,0,9.59
2015/03,1722,台肥,20741037,60660285,81401322,4281143,25220758,29501901,9800000,2234334,39101654,763433,0,51899421,0,--,0,51899421,0,0,0,52.96
