年,季,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2016,01,2338,光罩,297753,278620,19133,--,--,19133,57772,--,-38639,-21658,-60297,-2957,-57340,--,--,-57340,-4994,--,-62334,-48514,--,-8826,-53588,--,-8746,-0.21
2016,01,2340,光磊,1356210,956034,400176,--,--,400176,244825,--,155351,-14372,140979,24884,116095,--,--,116095,20001,--,136096,116092,--,3,136093,--,3,0.21
2016,01,2342,茂矽,331090,299703,31387,--,--,31387,48486,--,-17099,-86766,-103865,-4434,-99431,--,--,-99431,-2588,--,-102019,-97978,--,-1453,-100478,--,-1541,-0.26
2016,01,2344,華邦電,10086944,7048644,3038300,--,--,3038300,2032175,--,1006125,-7054,999071,191534,807537,--,--,807537,525046,--,1332583,776310,--,31227,1303650,--,28933,0.22
2016,01,2345,智邦科技,5927809,4554270,1373539,--,--,1373539,834224,--,539315,-56458,482857,84741,398116,--,--,398116,-106971,--,291145,398316,--,-200,291496,--,-351,0.74
2016,01,2347,聯強國際,77493108,74605420,2887688,--,--,2887688,1785077,--,1102611,379948,1482559,211672,1270887,--,--,1270887,-460755,--,810132,1208572,--,62315,724863,--,85269,0.76
2016,01,2348,海悅,94928,57151,37777,--,--,37777,29034,--,8743,-3362,5381,--,5381,--,--,5381,--,--,5381,5524,--,-143,5524,--,-143,0.06
2016,01,2349,錸德科技,2739580,2649344,90236,--,--,90236,453643,--,-363407,-102183,-465590,33981,-499571,--,--,-499571,-76842,--,-576413,-477216,--,-22355,-572313,--,-4100,-0.19
2016,01,2351,順德,2061215,1661587,399628,--,--,399628,186063,--,213565,-7375,206190,39003,167187,--,--,167187,-23320,--,143867,154540,--,12647,131220,--,12647,0.85
2016,01,2352,佳世達,31764175,27890795,3873380,--,--,3873380,2787631,--,1085749,-572243,513506,87445,426061,0,--,426061,-392983,--,33078,513924,--,-87863,163062,--,-129984,0.26
2016,01,2353,宏碁,56315625,49644504,6671121,--,--,6671121,5918828,114131,866424,-789482,76942,30819,46123,--,--,46123,-628323,--,-582200,46107,--,16,-582793,--,593,0.02
2016,01,2354,鴻準,17402823,13752691,3650132,--,--,3650132,605731,--,3044401,-51105,2993296,547785,2445511,--,--,2445511,-1576240,--,869271,2454307,--,-8796,879190,--,-9919,1.76
2016,01,2355,敬鵬,6118393,5012685,1105708,--,--,1105708,310408,--,795300,46829,842129,209704,632425,--,--,632425,-110787,--,521638,645434,--,-13009,533426,--,-11788,1.62
2016,01,2356,英業達,95363591,89718514,5645077,--,--,5645077,3779935,--,1865142,19194,1884336,518868,1365468,--,--,1365468,-341736,--,1023732,1231328,--,134140,891202,--,132530,0.34
2016,01,2357,華碩,119253004,103001229,16251775,--,--,16251775,11216395,--,5035380,376574,5411954,1176964,4234990,--,--,4234990,1032536,--,5267526,4161474,--,73516,5195162,--,72364,5.60
2016,01,2358,廷鑫,258184,315083,-56899,--,--,-56899,15679,--,-72578,7008,-65570,-9605,-55965,--,--,-55965,--,--,-55965,--,--,--,--,--,--,-0.66
2016,01,2359,所羅門,914427,710545,203882,--,--,203882,152301,--,51581,-2309,49272,16096,33176,--,--,33176,-22155,--,11021,29086,--,4090,11538,--,-517,0.17
2016,01,2360,致茂電子,2610119,1456745,1153374,--,368,1153742,769414,--,384328,-12062,372266,66276,305990,--,--,305990,-20770,--,285220,321016,--,-15026,301163,--,-15943,0.85
2016,01,2362,藍天,4767951,3172149,1595802,--,--,1595802,975251,--,620551,-434668,185883,116013,69870,--,--,69870,-811929,--,-742059,69740,--,130,-742878,--,819,0.11
2016,01,2363,矽統科技,45643,20830,24813,--,--,24813,95726,--,-70913,18338,-52575,--,-52575,--,--,-52575,369635,--,317060,-52575,--,0,317060,--,0,-0.09
2016,01,2364,倫飛電腦,271369,205606,65763,--,--,65763,83136,--,-17373,-7267,-24640,249,-24889,--,--,-24889,-439,--,-25328,-24889,--,0,-25328,--,0,-0.14
2016,01,2365,昆盈企業,882473,693973,188500,--,--,188500,211337,--,-22837,-9662,-32499,-1879,-30620,--,--,-30620,9478,--,-21142,-27277,--,-3343,-17822,--,-3320,-0.10
2016,01,2367,燿華,2835399,2697140,138259,--,--,138259,371920,--,-233661,-41273,-274934,-1376,-273558,--,--,-273558,-45699,--,-319257,-265736,--,-7822,-311034,--,-8223,-0.48
2016,01,2368,金像電,3954389,3598437,355952,--,--,355952,447770,-22774,-114592,-102188,-216780,-40408,-176372,--,--,-176372,-18764,--,-195136,-176372,--,0,-195136,--,--,-0.32
2016,01,2369,菱生,1331500,1184276,147224,--,--,147224,130208,--,17016,3720,20736,11349,9387,--,--,9387,-12434,--,-3047,10172,--,-785,-2262,--,-785,0.03
2016,01,2371,大同,22029509,19892080,2137429,--,--,2137429,3604823,--,-1467394,-1012547,-2479941,165863,-2645804,--,--,-2645804,-472318,--,-3118122,-795461,--,-1850343,-865022,--,-2253100,-0.35
2016,01,2373,震旦行,3360488,2031598,1328890,8975,--,1319915,1106602,--,213313,172841,386154,66076,320078,--,--,320078,60111,--,380189,296066,--,24012,361523,--,18666,0.95
2016,01,2374,佳能,2774384,2437055,337329,--,--,337329,361543,--,-24214,16630,-7584,9446,-17030,--,--,-17030,-45821,--,-62851,-28799,--,11769,-72252,--,9401,-0.10
2016,01,2375,智寶,356698,302606,54092,--,--,54092,44250,--,9842,-48650,-38808,1515,-40323,0,--,-40323,-99766,--,-140089,-40323,--,--,-140089,--,--,-0.67
2016,01,2376,技嘉,13091169,10641426,2449743,--,--,2449743,1885428,--,564315,238511,802826,260561,542265,--,--,542265,-36312,--,505953,542108,--,157,505796,--,157,0.86
2016,01,2377,微星科技,23509306,19870767,3638539,--,--,3638539,2256397,--,1382142,60403,1442545,288321,1154224,--,--,1154224,-132553,--,1021671,1154224,--,0,1021671,--,0,1.37
2016,01,2379,瑞昱,8987184,5036626,3950558,--,--,3950558,3127923,1833,824468,-183438,641030,50138,590892,--,--,590892,-419341,--,171551,590908,--,-16,171567,--,-16,1.17
2016,01,2380,虹光精密,478436,328064,150372,--,--,150372,245011,--,-94639,2575,-92064,13046,-105110,--,--,-105110,-17814,--,-122924,-105133,--,23,-122933,--,9,-0.50
2016,01,2382,廣達,197362829,187531601,9831228,1671,2793,9832350,6318379,--,3513971,818882,4332853,687663,3645190,--,--,3645190,-781700,--,2863490,3617170,--,28020,2897905,--,-34415,0.94
2016,01,2383,台光電子,4821171,3626075,1195096,--,--,1195096,395210,--,799886,-43841,756045,198135,557910,--,--,557910,-40212,--,517698,557230,--,680,517075,--,623,1.75
2016,01,2385,群光電子,16628810,14134034,2494776,--,--,2494776,1858838,--,635938,181192,817130,187974,629156,--,--,629156,-457224,--,171932,522934,--,106222,109816,--,62116,0.78
2016,01,2387,精元電腦,3270311,2796007,474304,--,--,474304,262023,--,212281,10739,223020,55651,167369,--,--,167369,-72489,--,94880,175332,--,-7963,106386,--,-11506,0.58
2016,01,2388,威盛電子,1189150,876437,312713,--,--,312713,692138,0,-379425,442563,63138,3766,59372,0,--,59372,-67411,--,-8039,59222,--,150,-4456,0,-3583,0.12
2016,01,2390,云辰,230986,187594,43392,--,--,43392,88935,--,-45543,76549,31006,-116,31122,--,--,31122,1671,--,32793,31572,--,-450,33138,--,-345,0.15
